question_id,question_string,content_pack_id_fk
1,"Ich hab noch nie Sex in einem fremden Auto gehabt",1
2,"Ich hab noch nie S/M Spielchen ausprobiert",1
3,"Ich hab noch nie Sex mit mehr als 5 Leuten gehabt",1
4,"Ich hab noch nie Sex mit dem/der Ex gehabt",1
5,"Ich hab noch nie an Sex mit einem der Mitspieler gedacht",1
6,"Ich hab noch nie Sex während der Autofahrt gehabt",1
7,"Ich hab noch nie Sex im Bett eines/r Freundes/in gehabt",1
8,"Ich hab noch nie Sex im freien gehabt",1
9,"Ich hab noch nie einen Orgasmus vorgetäuscht",1
10,"Ich hab noch nie einen multiplen Orgasmus gehabt",1
11,"Ich hab noch nie an einen 3er gedacht",1
12,"Ich hab noch nie mehr als 4 verschiedene Stellungen beim Sex ausprobiert",1
13,"Ich hab noch nie während des Sex gepupst",1
14,"Ich hab noch nie Sex beim Filmschauen gehabt",1
15,"Ich hab noch nie aus Langeweile Sex gehabt",1
16,"Ich hab noch nie beim Sex an einen anderen oder eine andere gedacht",1
17,"Ich hab noch nie Essen wärend dem Sex verwendet",1
18,"Ich hab noch nie Essen für Selbstbefriedigung verwendet",1
19,"Ich hab noch nie Sexspielzeug verwendet",1
20,"Ich hab noch nie jemandem beim Sex gefesselt oder wurde gefesselt",1
21,"Ich hab noch nie jemandem beim Sex zugesehen oder wurde beobachtet",1
22,"Ich hab noch nie jemandem ausversehen beim Sex überrascht",1
23,"Ich hab noch nie beim Sex den falschen Namen gesagt",1
24,"Ich hab noch nie Sex mit 15 gehabt",1
25,"Ich hab noch nie einen Unfall beim Sex gehabt",1
26,"Ich hab noch nie erotische Fotos von mir machen lassen oder selbst gemacht",1
27,"Ich hab noch nie mit meinen Eltern über mein Sexualleben geredet",1
28,"Ich hab noch nie erotische Träume über einen Freund/in gehabt",1
29,"Ich hab noch nie wegen einem Traum einen Orgasmus gehabt",1
30,"Ich hab noch nie gefragt wie sich der Sex wohl für das andere Geschlecht anfühlt",1
31,"Ich hab noch nie Sex mit einem Mitschüler/Arbeitskollegen gehabt",1
32,"Ich hab noch nie so viel getrunken, dass ich wärend dem Sex eingeschlafen bin",1
33,"Ich hab noch nie öfter als 5 mal am Tag sex gehabt",1
34,"Ich hab noch nie ein Angebot für einen 3er bekommen",1
35,"Ich hab noch nie einen Monat lang jeden Tag sex gehabt",1
36,"Ich hab noch nie eine perfekte Woche gehabt",1
37,"Ich hab noch nie draußen Sex gehabt",1
38,"Ich hab noch nie Nacktfotos von mir gemacht",1
39,"Ich hab noch nie an einem Tag mit 2 verschiedenen Leuten Sex gehabt",1
40,"Ich hab noch nie Sex auf einer Öffentlichen Toilette gehabt",1
41,"Ich hab noch nie einen Vibrator gehabt",1
42,"Ich hab noch nie einen Porno gedreht",1
43,"Ich hab noch nie an sex mit einer Frau gedacht",1
44,"Ich hab noch nie bei einer Orgie mitgemacht",1
45,"Ich hab noch nie Sex mit einer Frau gehabt",1
46,"Ich hab noch nie Sex im Flugzeug gehabt",1
47,"Ich hab noch nie in der Küche Sex gehabt",1
48,"Ich hab noch nie Sex im whirlpool gehabt",1
49,"Ich hab noch nie einen Orgasmus in der Öffentlichkeit gehabt",1
50,"Ich hab noch nie Sex im Bahnhofsklo gehabt",1
51,"Ich hab noch nie Sex am Strand gehabt",1
52,"Ich hab mich noch nie selbst befriedigt",1
53,"Ich hab noch nie Sex mit jemand jüngerem gehabt",1
54,"Ich hab noch nie Öffentlich gestrippt",1
55,"Ich hab noch nie Sex im Aufzug gehabt",1
56,"Ich hab noch nie einen Porno geguckt",1
57,"Ich hab noch nie jemandem zum Spaß meine Brüste gezeigt",1
58,"Ich hab noch nie Drogen genommen (Alkohol & Zigaretten zählt nicht)",2
59,"Ich hab noch nie die berühmte Nach-dem-Sex-Zigarette geraucht",2
60,"Ich bin noch nie nüchtern in eine Disco gegangen",2
61,"Ich hab noch nie besoffen mit jemandem rumgemacht",2
62,"Ich hab noch nie einen Joint geraucht",2
63,"Ich hab noch nie Alkohol aus dem Bauchnabel einer anderen Person getrunken",2
64,"Ich hab noch nie von Alkohol gekotzt",2
65,"Ich hab noch nie Shisha geraucht",2
66,"Ich hab noch nie besoffen in der Ecke gelegen",2
67,"Ich hab noch nie eine Nacht durchgemacht",2
68,"Ich war noch nie auf einer Pool-Party",2
69,"Ich war noch nie auf einer Schaumparty",2
70,"Ich hab noch nie eine Schachtel Kippen an einem Tag verraucht",2
71,"Ich hab noch nie alkoholfreies Bier getrunken",2
72,"Ich hab noch nie einen Filmriss gehabt",2
73,"Ich war noch nie betrunken schwimmen",2
74,"Ich hab noch nie eine Bierflasche ohne Flaschenöffner aufgemacht",2
75,"Ich hab noch nie Party gemacht, ohne Alkohol getrunken zu haben",2
76,"Ich war noch nie auf nem Festival",2
77,"Ich hab noch nie eine Line Koks gezogen",2
78,"Ich hab noch nie Bierpong gespielt",2
79,"Ich hab noch nie Trichtersaufen ausprobiert",2
80,"Ich hab noch nie aus Eimern gesoffen",2
81,"Ich hab noch nie 'Pyramide' das Trinkspiel gespielt",2
82,"Ich hab noch nie etwas mit einem der Mitspieler gehabt",3
83,"Ich hab noch nie jemand des anderen Geschlechts geküsst",3
84,"Ich hab noch nie jemanden des gleichen Geschlechts angetanzt",3
85,"Ich hab noch nie meinen Partner betrogen",3
86,"Ich hab noch nie nackt in einem See, Weiher oder Pool gebadet",3
87,"Ich hab noch nie so versaute Fantasien gehabt, dass ich mit meinem Partner nicht darüber reden konnte",3
88,"Ich hab noch nie einen Stripclub besucht",3
89,"Ich hab noch nie nackt im Bett geschlafen",3
90,"Ich hab noch nie eine Corsage angehabt",3
91,"Ich hab mir noch nie den Intimbereich entwachsen lassen",3
92,"Ich hab noch nie ernsthaft einen Heiratsantrag bekommen",3
93,"Ich war noch nie Groupie von einem Musiker",3
94,"Ich hab noch nie einen meiner Lehrer heiß gefunden",3
95,"Ich war noch nie nackt in der Öffentlichkeit",3
96,"Ich hab noch nie einen positiven Schwangerschaftstest in der Hand gehalten",3
97,"Ich hab noch nie jemand fremdes geküsst",3
98,"Ich hab mir noch nie die Beinhaare epiliert",3
99,"Ich hab noch nie einem Mann in die Weichteile getreten",3
100,"Ich hab noch nie jemanden beim Flaschen drehen geküsst",3
101,"Ich hab noch nie jemanden geküsst, mit dem ich nicht in einer beziehung war",3
102,"Ich hab noch nie einen Freund gehabt",3
103,"Ich hab noch nie jemanden mit nach Hause genommen",3
104,"Ich hab mich noch nie von einem Date weggeschlichen ohne mich zu verabschieden",3
105,"Ich hab noch nie jemanden ausgenutzt",3
106,"Ich hab noch nie nackt das Haus verlassen",3
107,"Ich war noch nie schwanger",3
108,"Ich hab noch nie eine Fernbeziehung gehabt",3
109,"Ich hab noch nie was mit jemandem der vergeben ist gehabt",3
110,"Ich hab noch nie jemandem den Partner ausgespannt",3
111,"Ich bin noch nie von nem Kerl verlassen worden",3
112,"Ich hab noch nie einen Schwangerschaftstest gemacht",3
113,"Ich hab noch nie eine Beziehung beendet",3
114,"Ich hab noch nie einen vergebenen Mann geküsst",3
115,"Ich hab noch nie meine beste FreundIn geküsst",3
116,"Ich hab noch nie jemanden geküsst mit dem ich nicht zusammen gekommen bin",3
117,"Ich hab noch nie mit jemand Unbekanntem auf einer Party rumgemacht",3
118,"Ich hab noch nie während des Unterrichts einen Ständer bekommen",3
119,"Ich bin noch nie während des Unterrichts feucht geworden",3
120,"Ich hab noch nie Berlin Tag und Nacht geschaut",4
121,"Ich hab mich noch nie vor Lachen fast oder sogar ganz bepisst",4
122,"Ich bin noch nie ohne Unterwäsche aus dem Haus gegangen",4
123,"Ich hab noch nie in die Dusche gekackt",4
124,"Ich hab noch nie meine Unterwäsche verkauft",4
125,"Ich hab noch nie im Schwimmbad ins Wasser gepinkelt",4
126,"Ich hab noch nie solche 'Schlank-mach-Strumpfhosen' getragen",4
127,"Ich hab noch nie betrunken peinliche SMS geschrieben",4
128,"Ich hab noch nie in ein Kondom Wasser gefüllt und jemanden damit abgeworfen",4
129,"Ich hab noch nie jemandem einen Knutschfleck verpasst",4
130,"Ich hab noch nie jemandem ganz dramatisch eine Szene gemacht",4
131,"Ich hab noch nie vor meiner Partnerin gerülpst",5
132,"Ich hab noch nie Klamotten von jemandem geklaut",5
133,"Ich hab noch nie einen Hamburger gegessen",5
134,"Ich hab noch nie ein Iphone besessen",5
135,"Ich hab noch nie einen Strafzettel wegen zu schnellem fahren bekommen",5
136,"Ich hab noch nie eine Schönheits-OP durchführen lassen",5
137,"Ich hab noch nie Wäsche beim waschen verfärbt",5
138,"Ich bin noch nie auf einem Tisch eingeschlafen",5
139,"Ich hab in der Schule noch nie eine 6 bekommen",5
140,"Ich hab es noch nie geschafft aus Europa raus zu kommen",5
141,"Ich hab noch nie Pokemon geschaut",5
142,"Ich hab noch nie ein Kleid ohne Strumpfhose im Winter getragen",5
143,"Ich hab noch nie ein komplettes Fußballspiel geguckt",5
144,"Ich hab noch ein Poster geküsst",5
145,"Ich hab noch nie ein Buch 'aufgegeben', bevor es zu Ende gelesen war",5
146,"Ich war noch nie bei IKEA",5
147,"Ich hab noch nie einen Autounfall gebaut",5
148,"Ich hab noch nie selbst Reifen von meinem Auto gewechselt",5
149,"Ich hab noch nie einen ganzen Abend auf High-Heels überstanden",5
150,"Ich hab noch nie vor meinem Partner gepupst",5
151,"Ich bin noch nie ohne zu Bezahlen aus einem Restaurant gegangen",5
152,"Ich war noch nie alleine im Restaurant essen",5
153,"Ich hab noch nie im Auto geschlafen",5
154,"Ich hab noch nie die Schule geschwänzt",5
155,"Ich hab noch nie länger als eine Woche Ordnung in meinem Zimmer halten können",5
156,"Ich hab noch nie in der öffentlichkeit gepupst",5
157,"Ich hab noch nie Titanic zu Ende geschaut",5
158,"Ich hab es noch nie geschafft eine Spardose komplett aufzufüllen",5
159,"Ich hab noch nie einen Kaffee ohne Milch getrunken",5
160,"Ich hab noch nie im Regen getanzt",5
161,"Ich hab noch nie eine Pediküre bekommen",5
162,"Ich hab noch nie Ahnung von Mathe gehabt",5
163,"Ich hab noch nie einen Tankini getragen",5
164,"Ich hab mich noch nie so beim Trinken verschluckt, dass ich alles ausspucken musste",5
165,"Ich hab noch nie morgens verschlafen",5
166,"Ich hab noch nie in einer WG gewohnt",5
167,"Ich hab noch nie Essen verbrennen lassen",5
168,"Ich hab noch nie einen Tag auf Kaffee verzichtet",5
169,"Ich hab noch nie Wäsche gewaschen",5
170,"Ich hab noch nie eine Diät durchgezogen",5
171,"Ich hab noch nie Sülze gegessen",5
172,"Ich hab noch nie ein Getränk über meinen Laptop gegossen",5
173,"Ich bin noch nie Achterbahn mit Loopings gefahren",5
174,"Ich hab noch nie ein Kleidungsstück gekauft das teurer als 200€ war",5
175,"Ich war noch nie in Leggings einkaufen",5
176,"Ich hab noch nie gut einparken können",5
177,"Ich war noch nie alleine im Kino",5
178,"Ich hab noch nie mit Socken geschlafen!",5
179,"Ich hab mich noch nie 100% ungeschminkt vor meinem Partner gezeigt",5
180,"Ich hab noch nie meine Haare gefärbt",5
181,"Ich hab noch nie selbst Nudeln gemacht",5
182,"Ich hab noch nie rechtzeitig für eine Prüfung gelernt",5
183,"Ich hab noch nie Kontaktlinsen getragen",5
184,"Ich bin noch nie auf ein Blind Date gegangen",5
185,"Ich hab mich noch nie geprügelt",5
186,"Ich hab noch nie bei einem Liebesfilm geweint",5
187,"Ich hab mich noch nie jünger gemacht als ich bin",5
188,"Ich hab noch nie ein Polizeiauto von innen erlebt",5
189,"Ich hab noch nie Dirty Dancing geschaut",5
190,"Ich hab noch nie so eingeparkt, wie ich es in der Fahrschule gelernt hab",5
191,"Ich hab noch nie einen Frosch geküsst",5
192,"Ich hab noch nie Muscheln gegessen",5
193,"Ich hab noch nie bequeme High Heels getragen",5
194,"Ich hab noch nie Sachen von Freunden kaputt gemacht",5
195,"Ich hab mich noch nie in Amsterdam verlaufen",5
